rank,arch_tag,score,mean_acc,worst_acc,robust_gap,mean_cr,std_cr,param_m,tx_cost,insertion_stage,se_ratio,cr,bottleneck_channels,ae_depth,kernel_size,use_skip,build_time_sec,quick_train_time_sec,eval_time_sec,total_time_sec,peak_gpu_mem_mb
1,s4_r32_cr0.4_cb24_d2_k1_skip,0.8350103207128132,0.9551587301587302,0.9476190476190476,0.01904761904761909,0.5566312736935086,0.002074483083561063,11.54839,854.9856363932292,4,32,0.4,24,2,1,True,0.11735773086547852,9.561776161193848,18.561923265457153,28.24209189414978,2463.740234375
2,s4_r32_cr1.0_cb32_d2_k1_skip,0.8121192758649345,0.9406746031746032,0.9333333333333333,0.00952380952380949,0.7477436322304938,0.0021003608126193285,11.557046,1531.3789588080513,4,32,1.0,32,2,1,True,0.10263514518737793,8.553840398788452,20.410600423812866,29.068031072616577,2463.869140625
3,s4_r4_cr0.6_cb48_d2_k3_skip,0.7952312036549737,0.9422619047619043,0.9380952380952381,0.00952380952380949,0.6383200527893172,0.002766434336081147,14.316502,1960.9192021687827,4,4,0.6,48,2,3,True,0.1121058464050293,8.784997701644897,20.021847248077393,28.919950246810913,2505.05859375
4,s4_r4_cr0.4_cb48_d2_k3_skip,0.771224488891151,0.9208333333333333,0.9095238095238095,0.023809523809523836,0.5474998959236674,0.002837528707459569,14.316502,1681.9196802775064,4,4,0.4,48,2,3,True,0.11418652534484863,8.267585277557373,19.249249935150146,27.631946325302124,2505.05859375
5,s4_r4_cr0.6_cb16_d3_k3_skip,0.76645070335813,0.9277777777777776,0.9238095238095239,0.00952380952380949,0.6548755028181605,0.0012519716983661056,15.875172,670.5925148857964,4,4,0.6,16,3,3,True,0.12214493751525879,8.409845113754272,18.900960445404053,27.433897018432617,2531.3125
6,s3_r8_cr0.8_cb48_d4_k5_skip,0.7423053313785419,0.9234126984126984,0.9047619047619048,0.042857142857142816,0.6889875051048067,0.0011227322975173593,16.406966,8466.278462727863,3,8,0.8,48,4,5,True,0.11868667602539062,8.509865760803223,21.391977548599243,30.021613121032715,2645.6904296875
7,s3_r8_cr0.6_cb24_d3_k3_skip,0.7353468855019994,0.8827380952380951,0.8380952380952381,0.09523809523809523,0.6436898907025655,0.0010192171903327107,12.438876,3954.8306884765625,3,8,0.6,24,3,3,True,0.1109774112701416,9.913823127746582,19.267673015594482,29.29340958595276,2563.69580078125
8,s3_r32_cr1.0_cb24_d2_k1_skip,0.7337634010488406,0.8797619047619047,0.8285714285714286,0.07619047619047614,0.7654006348715888,0.0014884467236697674,11.297766,4702.621500651042,3,32,1.0,24,2,1,True,0.1121826171875,8.631078481674194,18.53046202659607,27.274760007858276,2530.16259765625
9,s3_r4_cr0.4_cb24_d4_k1_skip,0.7294406780234881,0.8599206349206351,0.8333333333333334,0.06190476190476191,0.5649844590160582,0.0010784082114696503,11.462774,3471.2645161946616,3,4,0.4,24,4,1,True,0.11198949813842773,9.352968215942383,20.586307048797607,30.05230951309204,2576.29150390625
10,s4_r8_cr0.8_cb32_d2_k5_skip,0.7238580319586555,0.9168650793650793,0.9095238095238095,0.014285714285714346,0.7055571178595225,0.0036667832173407078,18.75935,1444.980977376302,4,8,0.8,32,2,5,True,0.12958168983459473,8.670347929000854,19.51692843437195,28.317869424819946,2638.21435546875
